measured matmul throughput: 6.39TFLOP/s
model: 11.02M params (10.62M non-embedding) | device mps | amp none
batch 32 x accum 1 x block 256 = 8.19K tokens/step
step  1599 | loss 0.1280 | lr 1.95e-04 | gnorm  0.560 |    29.7k tok/s | mfu 32.3%
step  1609 | loss 0.1316 | lr 1.91e-04 | gnorm  0.578 |    29.7k tok/s | mfu 32.3%
step  1619 | loss 0.1295 | lr 1.86e-04 | gnorm  0.588 |    29.7k tok/s | mfu 32.4%
step  1629 | loss 0.1441 | lr 1.82e-04 | gnorm  0.640 |    29.6k tok/s | mfu 32.3%
step  1639 | loss 0.1473 | lr 1.78e-04 | gnorm  0.664 |    29.7k tok/s | mfu 32.4%
step  1649 | loss 0.1256 | lr 1.74e-04 | gnorm  0.560 |    29.6k tok/s | mfu 32.3%
step  1659 | loss 0.1122 | lr 1.70e-04 | gnorm  0.527 |    29.7k tok/s | mfu 32.3%
step  1669 | loss 0.1303 | lr 1.66e-04 | gnorm  0.569 |    29.7k tok/s | mfu 32.3%
step  1679 | loss 0.1191 | lr 1.62e-04 | gnorm  0.538 |    29.7k tok/s | mfu 32.4%
step  1689 | loss 0.1351 | lr 1.58e-04 | gnorm  0.587 |    29.7k tok/s | mfu 32.3%
step  1699 | loss 0.1161 | lr 1.55e-04 | gnorm  0.560 |    29.7k tok/s | mfu 32.3%
step  1709 | loss 0.1125 | lr 1.51e-04 | gnorm  0.566 |    29.7k tok/s | mfu 32.4%
step  1719 | loss 0.1358 | lr 1.48e-04 | gnorm  0.597 |    29.7k tok/s | mfu 32.3%
step  1729 | loss 0.1186 | lr 1.44e-04 | gnorm  0.535 |    29.3k tok/s | mfu 31.9%
step  1739 | loss 0.1156 | lr 1.41e-04 | gnorm  0.523 |    29.7k tok/s | mfu 32.3%
step  1749 | loss 0.1304 | lr 1.38e-04 | gnorm  0.615 |    29.7k tok/s | mfu 32.3%
  eval @ 1750: val_loss 5.7913 ppl 327.44
step  1759 | loss 0.1341 | lr 1.35e-04 | gnorm  0.610 |    29.8k tok/s | mfu 32.5%
step  1769 | loss 0.1263 | lr 1.32e-04 | gnorm  0.577 |    29.7k tok/s | mfu 32.4%
step  1779 | loss 0.1277 | lr 1.30e-04 | gnorm  0.531 |    29.6k tok/s | mfu 32.3%
step  1789 | loss 0.1276 | lr 1.27e-04 | gnorm  0.566 |    29.7k tok/s | mfu 32.4%
step  1799 | loss 0.1321 | lr 1.25e-04 | gnorm  0.619 |    29.7k tok/s | mfu 32.3%
step  1809 | loss 0.1137 | lr 1.22e-04 | gnorm  0.531 |    29.7k tok/s | mfu 32.3%
step  1819 | loss 0.1259 | lr 1.20e-04 | gnorm  0.561 |    29.7k tok/s | mfu 32.3%
step  1829 | loss 0.1217 | lr 1.18e-04 | gnorm  0.590 |    29.7k tok/s | mfu 32.3%
step  1839 | loss 0.1180 | lr 1.16e-04 | gnorm  0.548 |    29.7k tok/s | mfu 32.4%
step  1849 | loss 0.1065 | lr 1.14e-04 | gnorm  0.512 |    29.7k tok/s | mfu 32.3%
step  1859 | loss 0.1100 | lr 1.12e-04 | gnorm  0.512 |    29.7k tok/s | mfu 32.4%
step  1869 | loss 0.1185 | lr 1.11e-04 | gnorm  0.568 |    29.7k tok/s | mfu 32.3%
step  1879 | loss 0.1184 | lr 1.09e-04 | gnorm  0.565 |    29.7k tok/s | mfu 32.3%
step  1889 | loss 0.1213 | lr 1.08e-04 | gnorm  0.576 |    29.7k tok/s | mfu 32.3%
step  1899 | loss 0.1122 | lr 1.06e-04 | gnorm  0.534 |    29.7k tok/s | mfu 32.3%
step  1909 | loss 0.1149 | lr 1.05e-04 | gnorm  0.549 |    29.7k tok/s | mfu 32.4%
step  1919 | loss 0.1142 | lr 1.04e-04 | gnorm  0.534 |    29.7k tok/s | mfu 32.3%
step  1929 | loss 0.1226 | lr 1.03e-04 | gnorm  0.554 |    29.7k tok/s | mfu 32.3%
step  1939 | loss 0.1079 | lr 1.02e-04 | gnorm  0.504 |    29.7k tok/s | mfu 32.4%
step  1949 | loss 0.1176 | lr 1.02e-04 | gnorm  0.513 |    29.7k tok/s | mfu 32.3%
step  1959 | loss 0.1101 | lr 1.01e-04 | gnorm  0.510 |    29.7k tok/s | mfu 32.4%
step  1969 | loss 0.1130 | lr 1.01e-04 | gnorm  0.533 |    29.7k tok/s | mfu 32.3%
step  1979 | loss 0.1178 | lr 1.00e-04 | gnorm  0.545 |    29.7k tok/s | mfu 32.3%
step  1989 | loss 0.1162 | lr 1.00e-04 | gnorm  0.493 |    29.7k tok/s | mfu 32.4%
step  1999 | loss 0.1023 | lr 1.00e-04 | gnorm  0.463 |    29.6k tok/s | mfu 32.3%
  eval @ 2000: val_loss 5.8682 ppl 353.61
best val loss 3.3599 -> out/pretrain/best.pt
